"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Jack Bech","LV","50.3","625.5","3.3","1.0","2.7","0.0","0.8","81.0"
"Kyle Williams","NE","43.7","571.3","3.4","2.1","8.7","0.0","0.4","78.0"
"Michael Wilson","ARI","44.7","547.6","3.8","1.9","7.7","0.1","0.5","77.8"
"Tyler Lockett","TEN","48.7","562.7","3.6","0.0","0.0","0.0","0.1","77.6"
"Alec Pierce","IND","31.2","559.0","3.5","0.0","0.0","0.0","0.1","77.0"
"Calvin Austin III","PIT","39.3","539.2","3.6","2.3","11.8","0.1","0.5","76.2"
"Jalen McMillan","TB","38.4","485.4","4.3","2.1","19.6","0.0","0.5","75.6"
"DeMario Douglas","NE","50.8","535.8","2.7","2.1","14.9","0.0","0.2","71.1"
"Joshua Palmer","BUF","38.6","527.1","3.0","0.0","0.5","0.0","0.1","70.8"
"Darius Slayton","NYG","34.2","517.4","2.5","1.4","6.1","0.0","0.2","67.1"
"Tutu Atwell","LAR","38.9","495.6","2.5","4.3","20.5","0.1","0.1","66.9"
"Allen Lazard","NYJ","35.9","464.8","3.3","0.0","0.0","0.0","0.1","66.0"
"DeAndre Hopkins","BAL","33.1","425.3","3.9","0.0","0.5","0.0","0.1","65.8"
"Tre Tucker","LV","34.8","443.8","2.6","5.7","34.1","0.3","0.1","65.5"
"Marquez Valdes-Scantling","SEA","28.1","468.4","2.8","2.6","9.1","0.1","0.1","65.0"
"Dyami Brown","JAC","38.0","491.0","2.6","0.7","5.8","0.0","0.5","64.1"
"Nick Westbrook-Ikhine","MIA","30.5","418.8","3.7","0.0","0.0","0.0","0.1","63.7"
"Jalen Tolbert","DAL","34.4","416.1","3.5","0.0","0.0","0.0","0.1","62.7"
"Jalen Coker","CAR","37.1","477.9","2.3","0.0","2.3","0.0","0.1","61.7"
"Diontae Johnson","CLE","38.9","475.9","2.3","1.0","2.0","0.0","0.5","60.9"
"Brandin Cooks","NO","36.9","427.8","2.9","1.7","3.8","0.0","0.1","60.5"
"Ray-Ray McCloud III","ATL","38.3","416.0","2.3","7.8","51.3","0.2","1.2","59.1"
"Skyy Moore","KC","36.3","422.3","2.7","0.0","0.0","0.0","0.0","58.2"
"Dontayvion Wicks","GB","29.9","375.0","3.2","0.0","0.0","0.0","0.0","56.9"
"Josh Reynolds","NYJ","30.9","404.4","2.8","0.0","0.0","0.0","0.1","56.8"
"Christian Watson","GB","21.3","392.6","2.6","4.3","18.7","0.0","0.4","56.4"
"Jordan Whittington","LAR","34.5","400.3","2.5","1.1","14.3","0.0","0.1","56.2"
"Adonai Mitchell","IND","27.0","384.6","2.6","2.5","15.9","0.1","0.2","55.8"
"Andrei Iosivas","CIN","30.1","361.1","3.3","0.0","0.0","0.0","0.1","55.6"
"Jalen Nailor","MIN","28.9","364.6","2.9","1.1","10.2","0.0","0.1","55.1"
"Russell Gage Jr.","SF","31.6","364.8","2.5","0.0","0.0","0.0","0.0","51.5"
"Noah Brown","WAS","31.4","399.6","1.9","0.0","0.0","0.0","0.1","51.1"
"Troy Franklin","DEN","27.2","342.9","2.7","1.1","5.7","0.0","0.1","50.9"
"Jaylin Noel","HOU","29.7","357.8","2.3","0.0","0.0","0.0","0.1","49.3"
"Curtis Samuel","BUF","30.3","306.0","2.5","6.6","29.3","0.1","0.1","49.3"
"Kyle Philips","LV","32.2","375.4","2.0","0.0","0.0","0.0","0.0","49.2"
"Demarcus Robinson","SF","21.4","332.7","2.6","0.0","1.3","0.0","0.1","48.6"
"Pat Bryant","DEN","26.7","329.2","2.5","0.0","0.0","0.0","0.1","47.9"
"K.J. Osborn","WAS","28.4","315.4","2.5","0.0","0.0","0.0","0.0","46.3"
"Anthony Miller","BAL","25.0","281.7","2.5","0.0","0.0","0.0","0.0","43.3"
"Devaughn Vele","DEN","28.6","306.8","2.1","0.0","1.0","0.0","0.1","43.2"
"Kayshon Boutte","NE","22.9","306.3","2.0","0.0","0.0","0.0","0.0","42.6"
"Dont'e Thornton Jr.","LV","24.4","309.2","1.8","0.0","6.0","0.0","0.1","41.9"
"Greg Dortch","ARI","27.3","265.3","2.1","4.8","30.6","0.1","0.4","41.8"
"Tai Felton","MIN","23.4","284.2","2.2","0.0","5.0","0.0","0.0","41.8"
"Malik Washington","MIA","27.5","293.5","1.8","2.0","13.8","0.1","0.6","41.0"
"Xavier Hutchinson","HOU","26.1","283.0","1.9","0.0","0.0","0.0","0.0","39.7"
"Tim Patrick","DET","20.9","265.9","1.9","0.0","0.0","0.0","0.1","37.9"
"Elic Ayomanor","TEN","23.1","273.2","1.7","0.0","5.0","0.0","0.1","37.9"
"Van Jefferson","TEN","21.5","271.8","1.7","0.0","0.0","0.0","0.1","37.3"
"Chimere Dike","TEN","19.9","262.3","1.6","2.1","12.3","0.0","0.1","37.1"
"KaVontae Turpin","DAL","16.2","207.2","1.4","8.5","58.5","0.5","0.7","36.6"
"Jalen Royals","KC","20.4","240.9","1.9","0.0","0.0","0.0","0.0","35.3"
"Kendrick Bourne","NE","21.5","250.6","1.6","1.1","5.2","0.0","0.1","35.0"
"Roman Wilson","PIT","20.1","254.7","1.6","0.0","0.0","0.0","0.1","34.8"
"Parker Washington","JAC","22.7","251.1","1.6","0.0","4.0","0.0","0.1","34.7"
"JuJu Smith-Schuster","KC","23.4","249.9","1.6","0.0","0.0","0.0","0.1","34.7"
"Rondale Moore","MIN","20.6","213.5","1.5","8.6","38.2","0.0","0.0","34.0"
