"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Keaton Mitchell","BAL","66.0","322.3","1.7","9.1","85.5","0.5","0.0","54.0"
"Ty Johnson","BUF","44.9","205.3","0.9","15.2","165.4","1.4","0.1","51.3"
"Ollie Gordon II","MIA","66.9","279.8","2.2","8.3","65.1","0.4","1.1","47.9"
"Kyle Monangai","CHI","52.1","283.2","2.5","6.1","42.9","0.1","0.1","47.6"
"Chris Rodriguez Jr.","WAS","64.6","284.1","2.5","2.8","20.7","0.0","0.3","45.0"
"Samaje Perine","CIN","41.2","165.5","1.3","17.5","152.9","0.9","0.4","44.2"
"Jarquez Hunter","LAR","57.1","244.7","1.9","8.5","68.7","0.4","0.7","43.8"
"Tahj Brooks","CIN","48.8","233.9","1.9","10.0","78.5","0.5","0.7","43.7"
"Antonio Gibson","NE","51.4","210.1","1.0","15.7","127.7","0.5","0.0","42.6"
"Elijah Mitchell","KC","60.5","228.8","1.8","8.2","47.6","0.4","0.1","40.9"
"Kenneth Gainwell","PIT","58.5","210.6","1.4","12.5","88.6","0.4","0.4","39.8"
"Devin Singletary","NYG","52.1","236.2","1.5","9.4","63.6","0.1","0.4","39.2"
"Trevor Etienne","CAR","47.8","191.3","1.5","10.7","86.5","0.4","0.4","38.3"
"Khalil Herbert","IND","60.4","215.4","1.6","7.7","43.8","0.2","0.0","36.5"
"Will Shipley","PHI","37.4","199.7","1.3","8.3","61.8","0.4","0.1","36.3"
"Sean Tucker","TB","44.8","231.3","1.4","5.2","40.2","0.3","0.7","36.1"
"Devin Neal","NO","38.8","204.5","1.3","7.3","54.5","0.4","0.1","35.9"
"Jaleel McLaughlin","DEN","30.5","142.6","0.8","18.2","110.3","0.9","0.5","34.3"
"Zamir White","LV","56.2","190.4","1.1","8.7","61.4","0.3","0.0","33.5"
"A.J. Dillon","PHI","50.1","199.1","1.6","3.6","28.6","0.1","0.0","32.7"
"Emanuel Wilson","GB","33.5","175.2","1.2","7.4","53.9","0.4","0.3","31.9"
"DJ Giddens","IND","23.6","163.2","1.3","7.6","56.4","0.1","0.0","30.3"
"Jordan James","SF","26.9","154.4","1.3","3.3","29.2","0.0","0.0","26.0"
"Audric Estime","DEN","45.5","149.1","0.9","5.8","40.1","0.2","0.4","25.1"
"Amar Johnson","GB","35.0","164.0","1.0","2.0","26.0","0.0","0.0","25.0"
"Isaiah Davis","NYJ","30.7","152.3","0.9","5.0","36.5","0.1","0.0","24.6"
"Zavier Scott","MIN","32.0","153.0","1.0","3.0","29.0","0.0","0.0","24.2"
"Kyle Juszczyk","SF","6.7","26.8","0.4","14.1","135.5","1.0","0.4","24.1"
"Chris Brooks","GB","30.9","139.1","0.9","5.0","32.1","0.0","0.0","22.9"
"Clyde Edwards-Helaire","NO","36.6","113.0","0.6","5.7","42.7","0.3","0.1","20.3"
"Tyler Goodson","IND","30.0","109.7","0.7","4.7","31.3","0.3","0.0","20.1"
"Kimani Vidal","LAC","35.4","105.5","0.6","5.4","41.2","0.3","0.0","20.1"
"Brashard Smith","KC","9.9","78.9","0.5","7.6","56.4","0.5","0.0","19.3"
"Sincere McCormick","LV","23.7","112.9","0.8","4.3","29.9","0.1","0.1","19.2"
"Emari Demercado","ARI","18.7","106.1","0.4","8.1","54.1","0.1","0.0","19.1"
"Pierre Strong Jr.","CLE","26.3","83.8","0.4","8.4","63.9","0.2","0.0","18.3"
"Ty Chandler","MIN","18.9","96.3","0.7","5.0","34.7","0.1","0.0","17.7"
"Cam Akers","NO","31.2","100.0","0.6","3.1","20.4","0.1","0.0","16.1"
"Kalel Mullings","TEN","10.4","96.5","0.6","3.0","21.8","0.0","0.0","15.8"
"Damien Martinez","SEA","8.8","97.5","0.6","3.0","21.9","0.0","0.0","15.8"
"Jeff Wilson Jr.","SF","29.0","92.4","0.5","2.8","22.2","0.2","0.0","15.6"
"Dameon Pierce","HOU","4.5","81.5","0.7","5.8","40.2","0.1","1.0","15.4"
"Jeremy McNichols","WAS","19.7","73.6","0.7","2.7","15.3","0.0","0.0","13.4"
"Michael Burton","DEN","6.7","14.6","0.6","7.1","45.6","0.6","0.0","13.0"
"Craig Reynolds","DET","8.5","38.0","0.1","6.9","55.1","0.4","0.0","12.3"
"Ronnie Rivers","LAR","31.7","90.3","0.5","0.3","2.3","0.0","0.0","12.2"
"Travis Homer","CHI","21.6","69.8","0.3","3.4","25.7","0.1","0.0","12.1"
