"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
"Hendon Hooker","DET","13.2","9.2","141.6","0.7","0.4","2.6","9.4","0.0","0.0","9.2"
"Mitchell Trubisky","BUF","13.1","8.2","132.5","0.7","0.4","2.6","10.5","0.0","0.0","8.9"
"Cooper Rush","BAL","12.1","8.1","134.9","0.8","0.4","3.1","13.4","0.0","0.4","8.7"
"Jarrett Stidham","DEN","13.8","9.2","126.8","0.8","0.4","2.2","9.5","0.0","0.0","8.6"
"Davis Mills","HOU","14.0","8.4","128.7","0.7","0.4","2.1","8.6","0.0","0.0","8.6"
"Drew Lock","SEA","14.3","9.3","132.3","0.7","0.7","2.2","8.5","0.0","0.0","8.4"
"Tanner McKee","PHI","11.1","7.1","124.8","0.7","0.4","3.1","8.0","0.0","0.0","8.4"
"Tyson Bagent","CHI","11.5","7.0","111.7","0.7","0.3","2.5","14.3","0.0","0.0","8.2"
"Andy Dalton","CAR","13.6","9.0","124.9","0.7","0.7","2.1","9.0","0.0","0.0","8.1"
"Josh Johnson","WAS","10.5","7.5","109.0","0.7","0.3","2.5","7.7","0.0","0.0","7.5"
"Sam Howell","MIN","14.5","8.9","105.8","0.6","0.6","2.7","11.9","0.0","0.0","7.4"
"Trey Lance","LAC","10.5","6.5","110.3","0.3","0.3","2.0","18.7","0.0","0.0","7.3"
"Kyle Trask","TB","5.7","3.5","120.2","0.7","0.6","0.3","4.5","0.0","0.0","7.3"
"Taylor Heinicke","LAC","5.7","3.5","116.6","0.6","0.6","0.4","5.0","0.0","0.0","7.1"
"Case Keenum","CHI","14.4","8.7","91.9","0.6","0.1","1.1","2.4","0.0","0.0","6.3"
"Stetson Bennett IV","LAR","0.0","0.0","96.0","0.5","0.5","0.0","9.0","0.0","0.0","6.2"
"Brandon Allen","TEN","12.8","8.2","88.6","0.6","0.6","2.1","6.0","0.0","0.0","6.0"
"Clayton Tune","ARI","9.5","6.5","91.7","0.7","0.3","2.5","4.7","0.0","0.3","5.8"
"Desmond Ridder","CIN","0.0","0.0","97.0","0.5","0.5","0.0","4.0","0.0","0.0","5.8"
"Jake Haener","NO","11.0","6.5","68.5","0.5","0.5","2.5","11.5","0.0","0.0","5.4"
"Quinn Ewers","MIA","9.0","6.0","63.0","0.5","0.0","1.0","4.5","0.0","0.0","5.0"
"Cam Miller","LV","9.0","6.0","62.0","0.5","0.0","1.0","3.5","0.0","0.0","4.8"
"Graham Mertz","HOU","8.5","5.5","60.0","0.5","0.0","1.0","4.0","0.0","0.0","4.8"
"Kyle McCord","PHI","6.5","4.5","51.5","0.5","0.0","1.5","7.0","0.0","0.0","4.8"
"Will Howard","PIT","8.0","5.0","57.0","0.5","0.0","1.0","4.0","0.0","0.0","4.7"
"Riley Leonard","IND","7.5","4.0","52.0","0.5","0.5","1.0","5.0","0.0","0.0","4.1"
"Kyle Allen","DET","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Mike White","BUF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Brett Rypien","MIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Easton Stick","ATL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tim Boyle","TEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"John Wolford","JAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Sam Ehlinger","DEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Bailey Zappe","KC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Skylar Thompson","PIT","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Chris Oladokun","KC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Shane Buechele","BUF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Sean Clifford","GB","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Dorian Thompson-Robinson","PHI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tommy DeVito","NYG","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Devin Leary","BAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Michael Pratt","TB","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kurtis Rourke","SF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""
